Wall time,Step,Value
1624452780.1452048,484,0.28128179907798767
1624453385.9191673,968,0.3860633969306946
1624453939.255228,1452,0.4442656338214874
1624454520.0233,1936,0.5176655650138855
1624455106.584979,2420,0.4839377999305725
1624455690.3096628,2904,0.5422258973121643
1624456277.6316748,3388,0.5320020318031311
1624456850.2308748,3872,0.5840860605239868
1624457389.6901464,4356,0.5914009809494019
1624457987.7690265,4840,0.617583692073822
1624458552.9669,5324,0.6727873682975769
1624459121.4043481,5808,0.6277617812156677
1624459725.6219642,6292,0.6785855293273926
1624460259.4984827,6776,0.6932020783424377
1624460809.2574382,7260,0.6651670932769775
1624461361.9574463,7744,0.7231711745262146
1624462062.411843,8228,0.704762876033783
1624462671.1245708,8712,0.7144262790679932
1624463300.4638293,9196,0.7664062976837158
