Wall time,Step,Value
1624452207.9629307,20,1.627110242843628
1624452220.9953535,40,1.0106009244918823
1624452234.4091954,60,0.8986093401908875
1624452247.8532765,80,0.8403379321098328
1624452261.2548165,100,0.7398062348365784
1624452274.5401819,120,0.7050277590751648
1624452287.9639463,140,0.7447246313095093
1624452301.423845,160,0.8787047266960144
1624452314.7469316,180,0.6866866946220398
1624452328.0830421,200,0.7288395762443542
1624452341.490197,220,0.6748265624046326
1624452354.8897748,240,0.8709535598754883
1624452368.329409,260,0.8589061498641968
1624452381.7355456,280,0.6750484108924866
1624452395.136139,300,0.7504598498344421
1624452408.5835166,320,0.6025649905204773
1624452421.9162426,340,0.5710952281951904
1624452435.3032582,360,0.6604454517364502
1624452448.7309647,380,0.6010353565216064
1624452462.186445,400,0.5864412784576416
1624452475.499255,420,0.7022843956947327
1624452488.925607,440,0.6931939125061035
1624452502.2900555,460,0.704174816608429
1624452515.7234766,480,0.7124279141426086
1624452878.6687944,500,0.6839594841003418
1624452888.8390303,520,0.8425478339195251
1624452899.2297564,540,0.6297198534011841
1624452909.3055513,560,0.6197630763053894
1624452919.6988971,580,0.7125562429428101
1624452930.3392944,600,0.6142623424530029
1624452940.219622,620,0.6332012414932251
1624452949.6017992,640,0.6644116640090942
1624452961.1516564,660,0.5601059794425964
1624452969.6199675,680,0.5480437874794006
1624452978.6870816,700,0.6879039406776428
1624452988.5238419,720,0.8520709872245789
1624452999.0021257,740,0.6235278248786926
1624453009.9222069,760,0.6792132258415222
1624453020.7838645,780,0.8073785901069641
1624453030.534261,800,0.6395373940467834
1624453041.5927117,820,0.7184123396873474
1624453052.3988907,840,0.5697404742240906
1624453062.8340995,860,0.6421487331390381
1624453075.230629,880,0.6269298195838928
1624453085.907793,900,0.5991738438606262
1624453095.9310625,920,0.8032704591751099
1624453104.959864,940,0.6273705363273621
1624453115.0459025,960,0.661162257194519
1624453459.249103,980,0.6139817833900452
1624453467.5896091,1000,0.5835990309715271
1624453476.5563545,1020,0.6825997829437256
1624453487.207302,1040,0.6114867329597473
1624453497.902173,1060,0.6871640682220459
1624453507.3201492,1080,0.6031644344329834
1624453517.7480521,1100,0.6223069429397583
1624453528.3060644,1120,0.6685172915458679
1624453537.6231625,1140,0.5479628443717957
1624453547.7556648,1160,0.6309800744056702
1624453556.648415,1180,0.5705711245536804
1624453568.66616,1200,0.5690633058547974
1624453577.6041095,1220,0.7146342396736145
1624453586.9195528,1240,0.5676625967025757
1624453596.8645885,1260,0.6554567217826843
1624453605.9140854,1280,0.5248818397521973
1624453614.981257,1300,0.5798911452293396
1624453626.558767,1320,0.6227710247039795
1624453636.990183,1340,0.6070946455001831
1624453646.9769545,1360,0.6282824873924255
1624453656.5740652,1380,0.6340613961219788
1624453666.728258,1400,0.5614901781082153
1624453676.3326554,1420,0.6757376790046692
1624453688.3985913,1440,0.5701924562454224
1624454010.5253105,1460,0.6195168495178223
1624454018.772134,1480,0.5975586175918579
1624454029.079811,1500,0.5465785264968872
1624454038.3839042,1520,0.5603046417236328
1624454048.7143557,1540,0.5579553246498108
1624454059.6855679,1560,0.6271802186965942
1624454071.190588,1580,0.6144471168518066
1624454081.1432645,1600,0.5602536797523499
1624454090.7353218,1620,0.5992781519889832
1624454102.0871809,1640,0.5491929650306702
