Wall time,Step,Value
1624452780.1452692,484,0.37705057859420776
1624453385.9192305,968,0.497651070356369
1624453939.2552946,1452,0.5368000864982605
1624454520.0233638,1936,0.6014249324798584
1624455106.5850408,2420,0.5838146209716797
1624455690.309727,2904,0.5775850415229797
1624456277.6317492,3388,0.6027354598045349
1624456850.2309394,3872,0.6201240420341492
1624457389.6902099,4356,0.6374039053916931
1624457987.769092,4840,0.6303297877311707
1624458552.9669638,5324,0.6674885153770447
1624459121.4044166,5808,0.6422255635261536
1624459725.6220267,6292,0.6695561408996582
1624460259.4985468,6776,0.6781407594680786
1624460809.2575014,7260,0.656041145324707
1624461361.9575107,7744,0.6855536699295044
1624462062.411907,8228,0.6883265376091003
1624462671.1246376,8712,0.6846916675567627
1624463300.4638944,9196,0.7076264023780823
