Wall time,Step,Value
1624452780.1451812,484,0.4786742925643921
1624453385.919143,968,0.5639609694480896
1624453939.2552037,1452,0.5806534886360168
1624454520.0232766,1936,0.607258141040802
1624455106.584957,2420,0.6135380268096924
1624455690.309639,2904,0.6102609038352966
1624456277.6316512,3388,0.6358969211578369
1624456850.2308517,3872,0.6394162178039551
1624457389.6901236,4356,0.6502808928489685
1624457987.7690022,4840,0.648779571056366
1624458552.966877,5324,0.6631634831428528
1624459121.4043236,5808,0.6588370203971863
1624459725.6219416,6292,0.6726882457733154
1624460259.4984548,6776,0.6765304207801819
1624460809.257415,7260,0.6676352620124817
1624461361.9574225,7744,0.6834076046943665
1624462062.4118202,8228,0.6851027011871338
1624462671.124546,8712,0.6849735379219055
1624463300.4638052,9196,0.6963386535644531
