Wall time,Step,Value
1612717041.8943105,20,0.41833359003067017
1612717206.424105,40,0.26687943935394287
1612717370.394344,60,0.17935702204704285
1612717550.1536334,80,0.14091284573078156
1612717732.0935898,100,0.12011370807886124
1612718103.5061033,120,0.10961012542247772
1612718526.5455794,140,0.11156152933835983
1612718722.349508,160,0.10134521126747131
1612718874.4101875,180,0.09790174663066864
1612719033.4943452,200,0.09680340439081192
1612719188.1554923,220,0.094952791929245
1612719340.0361059,240,0.08828441053628922
1612719516.2191467,260,0.0907692164182663
1612719646.8343318,280,0.0857999175786972
1612719806.4182315,300,0.07926472276449203
1612719989.5586865,320,0.09448498487472534
1612720145.694363,340,0.08441375195980072
1612720309.7944126,360,0.08369878679513931
1612720468.0970142,380,0.08219042420387268
1612720623.0943892,400,0.07858757674694061
1612720755.4057221,420,0.08160599321126938
1612720918.9943705,440,0.07652705162763596
1612721075.6305091,460,0.08456698060035706
1612721257.0532606,480,0.07274516671895981
1612721414.0572257,500,0.0733589306473732
1612721565.541365,520,0.07242985814809799
1612721733.2130795,540,0.07361380755901337
1612721866.7963483,560,0.08077714592218399
1612722028.8215604,580,0.07199684530496597
1612722223.702272,600,0.06860535591840744
1612722375.9944293,620,0.07255001366138458
1612722530.8322215,640,0.06354306638240814
1612722754.7943656,660,0.07110271602869034
1612723074.4200056,680,0.07124998420476913
1612723408.4943695,700,0.06938561797142029
1612723644.444237,720,0.06671902537345886
1612723861.257944,740,0.06481285393238068
1612724141.594363,760,0.06675734370946884
1612724302.8508427,780,0.07087504863739014
1612724541.0271106,800,0.06219465658068657
1612724703.3342419,820,0.0640227422118187
1612724875.2942839,840,0.07036231458187103
1612725035.2943103,860,0.06341982632875443
1612725188.3452275,880,0.061865732073783875
1612725346.3943586,900,0.06561379879713058
1612725506.0367854,920,0.06126121059060097
1612725661.9943233,940,0.05893222615122795
1612725854.214303,960,0.060959603637456894
1612725986.6106005,980,0.05735405161976814
1612726143.7136862,1000,0.05879663676023483
1612726301.094353,1020,0.05879649519920349
1612726457.5943599,1040,0.057548638433218
1612726623.4942265,1060,0.055839426815509796
1612726783.9943905,1080,0.058608897030353546
1612726935.6101983,1100,0.06446396559476852
1612727067.1294768,1120,0.061424847692251205
1612727228.2943566,1140,0.050675634294748306
1612727418.8943474,1160,0.05812983214855194
1612727645.2231421,1180,0.053208429366350174
1612727796.556798,1200,0.05650773644447327
1612727952.494365,1220,0.05432999134063721
1612728112.220853,1240,0.05787806957960129
1612728246.0943384,1260,0.04924280196428299
1612728490.0943453,1280,0.053406521677970886
1612728664.094361,1300,0.05265058949589729
1612728816.5943546,1320,0.05681625381112099
1612728984.694332,1340,0.04744388163089752
1612729144.6428754,1360,0.05117106810212135
1612729314.594376,1380,0.048578400164842606
1612729456.593809,1400,0.058398790657520294
1612729615.7581592,1420,0.05257565900683403
1612729818.7198808,1440,0.0503225214779377
1612729973.6942391,1460,0.04975797235965729
1612730150.3537147,1480,0.04732338339090347
1612730402.4036813,1500,0.04907248541712761
1612730556.8943992,1520,0.05124647542834282
1612730690.453013,1540,0.040801361203193665
1612730850.2944052,1560,0.04832896217703819
1612731007.5943816,1580,0.04928189143538475
1612731220.994292,1600,0.048500906676054
1612731375.039888,1620,0.04927689954638481
1612731532.8944135,1640,0.04794548079371452
1612731687.71227,1660,0.04436073452234268
1612731830.0315197,1680,0.04776932671666145
1612732003.9560297,1700,0.04905762895941734
1612732213.8943536,1720,0.04630674794316292
1612732369.750108,1740,0.04365994408726692
1612732526.3943856,1760,0.050272274762392044
1612732693.894352,1780,0.04581907391548157
1612732855.0943718,1800,0.04999037832021713
1612733032.8943088,1820,0.03707435354590416
1612733189.7439704,1840,0.04902161657810211
1612733342.5583773,1860,0.04259822890162468
1612733509.6943934,1880,0.04618198797106743
1612733664.7944047,1900,0.04501694068312645
1612733872.017885,1920,0.044947944581508636
1612734027.3490303,1940,0.042458873242139816
1612734158.4943478,1960,0.04096398875117302
1612734359.1557975,1980,0.042535971850156784
1612734524.798851,2000,0.042346443980932236
1612734681.3943458,2020,0.04280473664402962
1612734879.5943296,2040,0.047934383153915405
1612735034.3298047,2060,0.042218733578920364
1612735193.9944026,2080,0.04359216243028641
1612735343.6584268,2100,0.04350323975086212
