Wall time,Step,Value
1612716928.8121405,7,0.03849999979138374
1612716992.0053816,14,0.07000000029802322
1612717054.2420065,21,0.12540000677108765
1612717107.3223226,28,0.20600000023841858
1612717162.4122107,35,0.39419999718666077
1612717226.8992863,42,0.5806999802589417
1612717284.1523337,49,0.6488999724388123
1612717338.1591654,56,0.6836000084877014
1612717398.0954685,63,0.6798999905586243
1612717460.8040614,70,0.6833999752998352
1612717522.108569,77,0.7081999778747559
1612717576.4527116,84,0.725600004196167
1612717652.5974147,91,0.7164000272750854
1612717711.757418,98,0.7524999976158142
1612717763.8016963,105,0.7379000186920166
1612717867.2969694,112,0.7328000068664551
1612718020.9125714,119,0.7425000071525574
1612718238.3330142,126,0.7635999917984009
1612718462.4161859,133,0.7523999810218811
1612718567.14906,140,0.7390000224113464
1612718626.8035846,147,0.7573000192642212
1612718678.749944,154,0.7695000171661377
1612718733.4372168,161,0.7749000191688538
1612718786.1245265,168,0.7638000249862671
1612718838.3223488,175,0.7588000297546387
1612718889.9389448,182,0.7864000201225281
1612718946.0311327,189,0.7828999757766724
1612718999.6998262,196,0.7445999979972839
1612719053.9170253,203,0.7760999798774719
1612719105.8032877,210,0.7889999747276306
1612719158.1519954,217,0.7878000140190125
1612719213.5462143,224,0.7915999889373779
1612719266.2130635,231,0.7901999950408936
1612719317.4359758,238,0.786300003528595
1612719375.4318848,245,0.7846999764442444
1612719448.3118498,252,0.7968999743461609
1612719500.9180324,259,0.7810999751091003
1612719552.0403829,266,0.8001999855041504
1612719604.428479,273,0.7936000227928162
1612719657.130524,280,0.8030999898910522
1612719711.4983675,287,0.8070999979972839
1612719763.4085052,294,0.8083999752998352
1612719817.395929,301,0.8087999820709229
1612719898.0436473,308,0.8123000264167786
1612719953.1368525,315,0.7973999977111816
1612720005.2087967,322,0.8179000020027161
1612720058.6070054,329,0.8210999965667725
1612720113.298563,336,0.8097000122070312
1612720166.6955132,343,0.8021000027656555
1612720219.1370866,350,0.8134999871253967
1612720271.107705,357,0.8134999871253967
1612720340.3475559,364,0.8267999887466431
1612720394.9963973,371,0.8185999989509583
1612720446.8364222,378,0.8319000005722046
1612720499.596474,385,0.8245999813079834
1612720551.1444838,392,0.828499972820282
1612720607.596879,399,0.836899995803833
1612720659.452811,406,0.8341000080108643
1612720713.342033,413,0.823199987411499
1612720766.613338,420,0.8270999789237976
1612720824.3141854,427,0.839900016784668
1612720876.7353284,434,0.8237000107765198
1612720930.229308,441,0.8410999774932861
1612720982.6971638,448,0.8439000248908997
1612721039.6404636,455,0.8267999887466431
1612721092.008978,462,0.8313999772071838
1612721145.1261373,469,0.8458999991416931
1612721210.1030023,476,0.8409000039100647
1612721278.0196977,483,0.836899995803833
1612721330.6254928,490,0.8518999814987183
1612721385.719539,497,0.8574000000953674
1612721440.2234643,504,0.8492000102996826
1612721491.4015179,511,0.8598999977111816
1612721544.6118748,518,0.8482999801635742
1612721596.7282896,525,0.8586000204086304
1612721649.354775,532,0.8513000011444092
1612721701.0464053,539,0.8561999797821045
